method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,regression,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count
Random,1,4179801:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-8b4efe65b024e01e717b32e8,0,[],,0,1
Random,2,4179801:fbrt_cutin:initial:4,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-6bd2279c621fd406eabaf95b,0,[],,1,1
Random,3,4179801:fbrt_cutout_static:initial:8,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-0532f402160570e695b3ed26,0,[],,2,1
Random,4,4179801:fbrt_stop_hold_go:initial:4,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-977217ab126a92782bc081db,0,[],,3,1
Random,5,4179801:fbrt_stop_hold_go:initial:29,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-4a064b56d449a5474949b8df,0,[],,4,1
Random,6,4179801:fbrt_lead_emergency_brake:wide_initial:6,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-24fa323bee8032b604f498d4,0,[],,5,1
Random,7,4179801:fbrt_cutin:initial:6,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-e67bb4c88038397afd893da4,0,[],,6,1
Random,8,4179801:fbrt_stop_hold_go:core_extra:0,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-8cccebb36433662b43b4c821,0,[],,7,1
Random,9,4179801:fbrt_cutout_static:initial:26,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-d4c91dab1d85af0bcf8908b6,0,[],,8,1
Random,10,4179801:fbrt_stop_hold_go:initial:0,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-912d93a395c58ba53fd97d33,0,[],,9,1
Random,11,4179801:fbrt_stop_hold_go:initial:20,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-0d4b187c6f024d2c9398e67d,0,[],,10,1
Random,12,4179801:fbrt_stop_hold_go:initial:6,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-09e3a2519338b4c56df8e3b3,0,[],,11,1
Random,13,4179801:fbrt_cutin:core_boundary:2,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,True,False,True,legacy-abcbf423287eaf6c358dfea4,0,[],,12,1
Random,14,4179801:fbrt_cutout_static:initial:20,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-5cdb6f6c8633780b3bf2d91e,0,[],,13,1
Random,15,4179801:fbrt_cutin:initial:30,fbrt_cutin,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-c75aad846f9b0f2e41c4f5ab,0,[],,14,1
Random,16,4179801:fbrt_stop_hold_go:initial:13,fbrt_stop_hold_go,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-58ccd0065d30116ca862380d,0,[],,15,1
Random,17,4179801:fbrt_lead_emergency_brake:wide_initial:30,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-61df1dab37ecb965f59b1a1c,0,[],,16,1
Random,18,4179801:fbrt_cutout_static:initial:22,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-5cf80384582649d08ed3f645,0,[],,17,1
Random,19,4179801:fbrt_lead_emergency_brake:wide_initial:14,fbrt_lead_emergency_brake,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,False,False,False,legacy-072fb60ae048a00989997ace,0,[],,18,1
Random,20,4179801:fbrt_cutout_static:initial:17,fbrt_cutout_static,seeded_random_without_replacement,merge_blind06,legacy_regression_seed4179801_merge_blind06:Random:0,regression,True,False,True,legacy-9bdbd46c3167902c9b55487b,0,[],,19,1
