method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
Random,1,4179901:S02:space_filling:4,fbrt_cutout_static,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-b048c7b27f6587c61e8ce8f1,1,[],,0,0,,,cross_agent_Random_mobil_to_next,5
Random,2,4179901:S06:space_filling:9,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-b996690e7e64c17a6b4b14c0,1,[],,1,0,,,cross_agent_Random_mobil_to_next,5
Random,3,4179901:S02:space_filling:7,fbrt_cutout_static,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-7fb45e69d52046b71dcafbe2,1,[],,2,0,,,cross_agent_Random_mobil_to_next,5
Random,4,4179901:S01:anchor_like:0,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-4f0067aa8b72da3020e2604f,1,[],,3,0,,,cross_agent_Random_mobil_to_next,5
Random,5,4179901:S05:space_filling:14,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-f98417a7d5bc4c0cc03d07db,1,[],,4,0,,,cross_agent_Random_mobil_to_next,5
Random,6,4179901:S01:space_filling:14,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-6aa0a4514cc79999db8175f7,1,[],,5,0,,,cross_agent_Random_mobil_to_next,5
Random,7,4179901:S06:space_filling:7,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-4a32f6d494c8db5ec90c0f77,1,[],,6,0,,,cross_agent_Random_mobil_to_next,5
Random,8,4179901:S01:space_filling:13,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-cb2c3ff31b9e58a2b0b45772,1,[],,7,0,,,cross_agent_Random_mobil_to_next,5
Random,9,4179901:S06:anchor_like:1,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-bdf474420dcb67289c2c244f,1,[],,8,0,,,cross_agent_Random_mobil_to_next,5
Random,10,4179901:S01:space_filling:6,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-b86221f25a45a1f5d5b04da2,1,[],,9,0,,,cross_agent_Random_mobil_to_next,5
Random,11,4179901:S02:anchor_like:1,fbrt_cutout_static,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-a49a9d025034ebc37b065763,1,[],,10,0,,,cross_agent_Random_mobil_to_next,5
Random,12,4179901:S06:space_filling:5,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-86c8e600e258da0223b63cde,1,[],,11,0,,,cross_agent_Random_mobil_to_next,5
Random,13,4179901:S01:anchor_like:2,fbrt_cutin,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-54af71d3c73ce835ed50f848,1,[],,12,0,,,cross_agent_Random_mobil_to_next,5
Random,14,4179901:S05:space_filling:5,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-98a702ffc479d5c279460f43,1,[],,13,0,,,cross_agent_Random_mobil_to_next,5
Random,15,4179901:S05:space_filling:4,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-ffc12d674d05e2e10cfc8393,1,[],,14,0,,,cross_agent_Random_mobil_to_next,5
Random,16,4179901:S05:anchor_like:1,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-ad864b2432537dab691b571f,1,[],,15,0,,,cross_agent_Random_mobil_to_next,5
Random,17,4179901:S06:space_filling:15,fbrt_moving_lead,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-533bb7de907b1d88dedaa882,1,[],,16,0,,,cross_agent_Random_mobil_to_next,5
Random,18,4179901:S08:space_filling:4,fbrt_cutin_then_brake,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-aa4687df1ab620035ebba764,1,[],,17,0,,,cross_agent_Random_mobil_to_next,5
Random,19,4179901:S05:space_filling:15,fbrt_lane_change_rear,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-2477f38770889f57533ff45f,1,[],,18,0,,,cross_agent_Random_mobil_to_next,5
Random,20,4179901:S02:anchor_like:3,fbrt_cutout_static,seeded_random_without_replacement,mobil_ref_v2,cross_agent_Random_mobil_to_next:Random:5,cross_agent,False,False,False,,0,new-1eae1d8956bdb70027162dd1,1,[],,19,0,,,cross_agent_Random_mobil_to_next,5
